timestamp,P2
2018-09-01 01:02:31.703,13.45
2018-09-01 01:02:54.902,16.98
2018-09-01 01:03:01.260,14.33
2018-09-01 01:03:37.026,13.93
2018-09-01 01:03:54.927,23.63
2018-09-01 01:04:12.126,9.63
2018-09-01 01:04:12.841,14.7
2018-09-01 01:04:48.729,14.3
2018-09-01 01:05:01.726,14.68
2018-09-01 01:05:24.564,13.8
2018-09-01 01:05:24.900,18.0
2018-09-01 01:06:00.501,13.87
2018-09-01 01:06:24.134,22.9
2018-09-01 01:06:36.356,14.63
2018-09-01 01:06:42.434,9.67
2018-09-01 01:07:31.295,13.25
2018-09-01 01:07:54.836,17.23
2018-09-01 01:08:53.447,23.1
2018-09-01 01:09:13.798,9.6
2018-09-01 01:10:01.987,11.32
2018-09-01 01:10:24.624,16.3
2018-09-01 01:11:22.759,21.83
2018-09-01 01:11:44.928,9.23
2018-09-01 01:12:31.291,12.73
2018-09-01 01:12:54.675,15.7
2018-09-01 01:13:52.248,20.47
2018-09-01 01:14:15.457,8.6
2018-09-01 01:15:01.489,11.52
2018-09-01 01:15:24.464,16.75
2018-09-01 01:16:22.170,19.2
2018-09-01 01:16:45.878,10.27
2018-09-01 01:17:31.836,11.93
2018-09-01 01:17:54.389,17.1
2018-09-01 01:18:52.120,15.97
2018-09-01 01:19:16.311,9.13
2018-09-01 01:20:01.127,12.3
2018-09-01 01:20:24.116,15.85
2018-09-01 01:21:22.402,13.2
2018-09-01 01:21:46.537,8.27
2018-09-01 01:22:30.544,12.18
2018-09-01 01:22:54.010,16.4
2018-09-01 01:23:52.648,11.17
2018-09-01 01:24:17.053,9.2
2018-09-01 01:25:00.967,12.37
2018-09-01 01:25:23.927,15.88
2018-09-01 01:26:22.260,9.8
2018-09-01 01:26:47.289,8.97
2018-09-01 01:27:30.428,12.13
2018-09-01 01:27:53.753,15.63
2018-09-01 01:28:52.470,9.63
2018-09-01 01:29:18.128,8.83
2018-09-01 01:29:59.858,12.0
2018-09-01 01:30:23.656,14.65
2018-09-01 01:31:21.974,9.63
2018-09-01 01:31:48.549,8.27
2018-09-01 01:32:29.263,11.38
2018-09-01 01:32:53.565,15.23
2018-09-01 01:33:52.204,9.43
2018-09-01 01:34:18.884,8.6
2018-09-01 01:34:58.801,11.15
2018-09-01 01:35:23.562,15.23
2018-09-01 01:36:21.811,9.57
2018-09-01 01:36:49.291,8.2
2018-09-01 01:37:28.055,10.73
2018-09-01 01:37:53.595,14.7
2018-09-01 01:38:51.797,10.95
2018-09-01 01:39:19.828,7.47
2018-09-01 01:39:57.381,10.65
2018-09-01 01:40:23.617,14.48
2018-09-01 01:41:21.333,11.07
2018-09-01 01:41:50.120,9.37
2018-09-01 01:42:26.660,11.57
2018-09-01 01:42:53.651,15.15
2018-09-01 01:43:51.592,15.03
2018-09-01 01:44:20.572,8.17
2018-09-01 01:44:56.155,12.0
2018-09-01 01:45:23.672,15.27
2018-09-01 01:46:21.988,16.98
2018-09-01 01:46:50.691,7.57
2018-09-01 01:47:26.073,12.02
2018-09-01 01:47:54.181,14.87
2018-09-01 01:48:52.102,19.9
2018-09-01 01:49:21.508,8.73
2018-09-01 01:49:55.573,12.98
2018-09-01 01:50:24.419,15.6
2018-09-01 01:51:22.223,17.93
2018-09-01 01:51:52.138,8.7
2018-09-01 01:52:25.081,12.27
2018-09-01 01:52:54.213,15.75
2018-09-01 01:53:51.831,19.03
2018-09-01 01:54:23.091,7.87
2018-09-01 01:54:54.694,11.93
2018-09-01 01:55:24.328,13.68
2018-09-01 01:56:21.137,15.75
2018-09-01 01:56:53.210,8.07
2018-09-01 01:57:24.031,11.63
2018-09-01 01:57:54.344,15.05
2018-09-01 01:58:50.437,16.17
2018-09-01 01:59:23.749,7.8
2018-09-01 01:59:53.729,13.32
2018-09-01 02:00:24.289,14.52
2018-09-01 02:01:20.459,15.73
2018-09-01 02:01:53.960,8.23
2018-09-01 02:02:24.055,12.35
2018-09-01 02:02:54.076,13.45
2018-09-01 02:03:50.180,15.63
2018-09-01 02:04:25.205,7.4
2018-09-01 02:04:54.837,13.8
2018-09-01 02:05:24.195,13.95
2018-09-01 02:06:19.692,16.33
2018-09-01 02:06:55.940,7.83
2018-09-01 02:07:25.057,12.93
2018-09-01 02:07:54.340,13.73
2018-09-01 02:08:49.302,16.27
2018-09-01 02:09:26.713,7.67
2018-09-01 02:09:55.133,14.13
2018-09-01 02:10:24.336,14.05
2018-09-01 02:11:20.117,15.98
2018-09-01 02:11:56.802,8.13
2018-09-01 02:12:28.193,13.5
2018-09-01 02:12:54.142,13.4
2018-09-01 02:13:49.617,13.0
2018-09-01 02:14:27.221,8.3
2018-09-01 02:14:58.918,12.37
2018-09-01 02:15:24.163,14.57
2018-09-01 02:16:19.652,12.9
2018-09-01 02:16:57.653,7.95
2018-09-01 02:17:28.832,11.88
2018-09-01 02:17:53.972,14.18
2018-09-01 02:18:49.238,12.73
2018-09-01 02:19:28.175,7.13
2018-09-01 02:19:58.271,13.1
2018-09-01 02:20:23.993,14.82
2018-09-01 02:21:19.273,11.8
2018-09-01 02:21:59.327,7.67
2018-09-01 02:22:28.096,13.85
2018-09-01 02:22:53.790,13.45
2018-09-01 02:23:49.580,12.77
2018-09-01 02:24:29.755,7.33
2018-09-01 02:24:58.412,13.0
2018-09-01 02:25:23.719,14.07
2018-09-01 02:26:19.809,11.03
2018-09-01 02:27:01.088,7.07
2018-09-01 02:27:29.855,13.02
2018-09-01 02:27:53.479,13.77
2018-09-01 02:28:49.435,10.2
2018-09-01 02:29:32.331,7.17
2018-09-01 02:29:59.155,13.5
2018-09-01 02:30:23.449,13.8
2018-09-01 02:31:19.548,10.6
2018-09-01 02:32:03.587,7.23
2018-09-01 02:32:28.672,13.57
2018-09-01 02:32:53.564,13.62
2018-09-01 02:33:49.155,10.67
2018-09-01 02:34:34.009,7.23
2018-09-01 02:34:58.050,11.8
2018-09-01 02:35:23.479,14.63
2018-09-01 02:36:19.267,9.6
2018-09-01 02:37:05.461,7.2
2018-09-01 02:37:27.557,11.3
2018-09-01 02:37:53.280,14.05
2018-09-01 02:38:48.780,10.7
2018-09-01 02:39:35.892,7.2
2018-09-01 02:39:56.858,12.45
2018-09-01 02:40:23.312,13.85
2018-09-01 02:41:18.274,10.5
2018-09-01 02:42:06.527,7.23
2018-09-01 02:42:26.271,12.5
2018-09-01 02:42:53.223,12.48
2018-09-01 02:43:48.400,11.3
2018-09-01 02:44:36.755,7.4
2018-09-01 02:44:56.273,12.63
2018-09-01 02:45:23.230,12.68
2018-09-01 02:46:17.806,11.6
2018-09-01 02:47:07.250,8.13
2018-09-01 02:47:25.692,11.73
2018-09-01 02:47:53.050,12.85
2018-09-01 02:48:47.921,13.77
2018-09-01 02:49:38.426,7.03
2018-09-01 02:49:59.203,12.18
2018-09-01 02:50:23.140,13.35
2018-09-01 02:51:17.437,11.77
2018-09-01 02:52:09.047,6.97
2018-09-01 02:52:29.483,13.8
2018-09-01 02:52:52.953,13.88
2018-09-01 02:53:47.165,10.7
2018-09-01 02:54:40.097,7.57
2018-09-01 02:55:00.457,12.07
2018-09-01 02:55:22.866,12.93
2018-09-01 02:56:16.355,11.93
2018-09-01 02:57:10.417,7.43
2018-09-01 02:57:29.726,11.4
2018-09-01 02:57:52.678,13.13
2018-09-01 02:58:45.850,10.6
2018-09-01 02:59:40.829,7.47
2018-09-01 02:59:59.876,11.85
2018-09-01 03:00:22.550,13.3
2018-09-01 03:01:16.074,10.83
2018-09-01 03:02:11.472,7.07
2018-09-01 03:02:29.477,11.45
2018-09-01 03:02:52.710,13.8
2018-09-01 03:03:45.795,11.53
2018-09-01 03:04:42.498,7.23
2018-09-01 03:04:59.190,11.88
2018-09-01 03:05:22.531,12.4
2018-09-01 03:06:15.283,11.47
2018-09-01 03:07:12.930,6.93
